,src_port,dst_port,proto,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,total_bytes,label
13,0.9998637602179837,0.0005219509366119585,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2777777777777778,0.0,0.0,0.2777777777777778,1
2,0.5520435967302453,0.20199501246882792,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0
17,1.0,0.0005219509366119585,1.0,8.742114803772744e-05,0.0,0.0,0.75,0.0,0.5,0.5185185185185185,0.3333333333333333,0.1694915254237288,0.5185185185185185,1
15,0.9999318801089919,0.0005219509366119585,1.0,0.4418374991816094,0.0,0.0,0.75,0.0,0.75,0.7592592592592592,0.6666666666666666,0.3389830508474576,0.7592592592592592,1
8,0.9996934604904634,0.0005219509366119585,1.0,0.44346969700856104,0.0,0.0,0.75,0.0,0.5,0.5185185185185185,0.6666666666666666,0.3389830508474576,0.5185185185185185,1
16,0.9999659400544959,0.0005219509366119585,1.0,0.44138156923077226,0.0,0.0,0.75,0.0,0.75,0.7592592592592592,0.6666666666666666,0.3389830508474576,0.7592592592592592,1
11,0.9997956403269755,0.0005219509366119585,1.0,0.4432908319660551,0.0,0.0,0.75,0.0,0.5,0.5185185185185185,0.6666666666666666,0.3389830508474576,0.5185185185185185,1
5,0.5520435967302453,0.20199501246882792,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0
6,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0
21,0.5496934604904632,0.21517910649732258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0
3,0.761716621253406,0.0,0.0,7.69507940880429e-06,0.0,1.0,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.6898148148148148,0
0,0.7728201634877384,0.300547081907634,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.29166666666666663,0.0,0.0,0.29166666666666663,0
14,0.9998978201634877,0.0005219509366119585,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.4858757062146893,1.0,1
9,0.9997275204359674,0.0005219509366119585,1.0,0.44341266371509214,0.0,0.0,0.75,0.0,0.5,0.5185185185185185,0.6666666666666666,0.3389830508474576,0.5185185185185185,1
18,0.5847411444141689,0.17046530959423148,0.0,1.2005758274582335e-06,0.0,0.15436241610738255,0.25,0.0,0.0,0.0,0.0,0.1553672316384181,0.10648148148148148,0
20,0.03205040871934606,0.9536430242223898,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0
